subset,language,tokenizer,tier,mean_tfr,median_tfr,std_tfr,mean_token_count,n_items
all,Yoruba,tiktoken_o200k,T1,2.3713909701409706,2.198051948051948,0.6204282138695981,23.55,20
all,Yoruba,tiktoken_o200k,T2,2.463694358030986,2.4957671957671956,0.44261181094195573,136.33333333333334,30
all,Yoruba,tiktoken_o200k,T3,2.2515415054688166,2.3115898058252426,0.47354975807592975,244.35,20
clean_only,Arabic,mistral_7b_v0.1,T1,4.094045121545122,4.1,0.9297237614708846,43.05,20
clean_only,Arabic,mistral_7b_v0.1,T2,3.6780402472716407,3.636338797814208,0.24240973561330525,211.7,30
clean_only,Arabic,mistral_7b_v0.1,T3,3.644275713344951,3.643518518518518,0.23203503424257246,410.75,20
clean_only,Arabic,qwen2.5_7b,T1,1.893465994789524,1.7346153846153847,0.470307099492773,18.85,20
clean_only,Arabic,qwen2.5_7b,T2,1.5312352818449857,1.5374331550802138,0.1626667984778367,84.53333333333333,30
clean_only,Arabic,qwen2.5_7b,T3,1.6329975085446056,1.619517543859649,0.1259261763799857,176.3,20
clean_only,Arabic,tiktoken_o200k,T1,1.641966921966922,1.641025641025641,0.35548818837311635,16.55,20
clean_only,Arabic,tiktoken_o200k,T2,1.2939800833184785,1.2746031746031745,0.12579659484842073,71.93333333333334,30
clean_only,Arabic,tiktoken_o200k,T3,1.3561896100950395,1.3446455505279036,0.10874182761732536,146.65,20
clean_only,Bengali,mistral_7b_v0.1,T1,5.990151515151515,6.15,1.753699093744153,48.2,10
clean_only,Bengali,mistral_7b_v0.1,T2,5.601455621379459,5.610745614035087,0.6133013315290532,322.03333333333336,30
clean_only,Bengali,mistral_7b_v0.1,T3,5.2930822510361235,5.322375127420999,0.3706487980500729,597.0,20
clean_only,Bengali,qwen2.5_7b,T1,6.092020202020201,6.361111111111111,1.7014831918335809,47.2,10
clean_only,Bengali,qwen2.5_7b,T2,5.5560255437040444,5.602099511072764,0.5492413169005158,307.2,30
clean_only,Bengali,qwen2.5_7b,T3,5.426606020003804,5.413275761124122,0.3525145803481317,587.7,20
clean_only,Bengali,tiktoken_o200k,T1,2.122929292929293,2.2055555555555557,0.5953953177098416,18.05,10
